Customer_ID,First_Purchase_Date,Last_Purchase_Date,Total_Orders,Total_Revenue,Recency,Frequency,Monetary,Cohort_Month,Churn,Churn Probability,Segment,Predicted_LTV
2,14/05/2023,22/07/2024,3,114,163,3,114,2023-05,1,1,3,191.3126574
3,03/03/2022,28/03/2024,2,37.05,279,2,37.05,2022-03,1,1,1,131.1719348
5,06/06/2023,06/06/2023,1,174.45,575,1,174.45,2023-06,1,1,0,106.2113193
6,15/10/2022,15/10/2022,1,11.28,809,1,11.28,2022-10,1,1,2,74.35629103
7,13/02/2022,13/02/2022,1,62.16,1053,1,62.16,2022-02,1,1,2,84.6196
9,30/04/2023,09/06/2023,2,168.21,572,2,168.21,2023-04,1,1,0,219.5638507
10,02/02/2022,07/03/2024,2,55.35,300,2,55.35,2022-02,1,1,1,148.6997812
11,20/05/2022,10/01/2024,2,142.37,357,2,142.37,2022-05,1,1,1,99.01866846
13,30/01/2024,12/10/2024,2,224.25,81,2,224.25,2024-01,0,0.03,3,198.4612771
14,18/04/2023,14/06/2024,2,114.64,201,2,114.64,2023-04,1,1,3,160.1148375
15,03/08/2023,03/08/2023,1,34.41,517,1,34.41,2023-08,1,1,0,82.75233603
16,25/06/2022,18/04/2023,3,179.59,624,3,179.59,2022-06,1,1,0,241.5784267
17,08/09/2022,08/09/2022,1,102.47,846,1,102.47,2022-09,1,1,2,130.5101881
18,28/09/2024,28/09/2024,1,88.69,95,1,88.69,2024-09,1,1,3,67.349875
19,25/05/2022,25/05/2022,1,101.94,952,1,101.94,2022-05,1,1,2,114.4106805
25,13/10/2023,08/03/2024,2,74.31,299,2,74.31,2023-10,1,1,1,105.0522286
26,05/10/2023,28/05/2024,2,85.71,218,2,85.71,2023-10,1,1,3,164.1983176
27,20/04/2024,20/04/2024,1,43.08,256,1,43.08,2024-04,1,1,1,49.04852989
28,23/08/2023,23/08/2023,1,57.05,497,1,57.05,2023-08,1,1,1,59.01240627
